filename,v_thr,s_thr,box_area,highlight_in_count,highlight_out_count,highlight_in_pct,highlight_out_pct,ratio_highlight,reduction_highlight,cov_in,cov_out,ratio_cov,reduction_cov
1.png,78.0,80.0,1258574,3074,88,0.24424467691212437,0.006992040197874737,0.028627195836044242,0.9713728041639558,0.41612527169215646,0.35977466597524355,0.8645825919493775,0.13541740805062252
10.png,82.0,80.0,1246331,2523,97,0.20243418481928158,0.0077828442043084865,0.038446294094332145,0.9615537059056678,0.40864828087338695,0.35449382836810484,0.8674790644180858,0.13252093558191425
100.png,82.0,80.0,1452553,16151,14212,1.1119043504780892,0.9784152454333852,0.8799455142096465,0.1200544857903535,0.5526958850737107,0.3793093387621704,0.6862894206487234,0.31371057935127655
101.png,81.0,80.0,1467292,15740,15301,1.0727244474855722,1.0428053857037318,0.9721092757306227,0.02789072426937733,0.50522050982275,0.3608802021922948,0.7143023594170888,0.28569764058291125
102.png,85.0,80.0,1427699,14980,11795,1.0492407713390568,0.8261545325730424,0.7873831775700935,0.21261682242990654,0.4638321334033235,0.3402033070538493,0.7334621354446498,0.2665378645553502
103.png,77.0,80.0,1476965,15749,16900,1.0663082740620122,1.144238353650899,1.0730840053336719,-0.07308400533367188,0.5381735370041307,0.3793888367123718,0.7049563210118595,0.29504367898814055
104.png,77.0,80.0,1468825,16166,17064,1.1006076285466273,1.1617449321736761,1.0555486824198936,-0.055548682419893636,0.5208287827434541,0.35810513045663944,0.6875678578482713,0.31243214215172865
105.png,84.0,80.0,1453355,14498,10281,0.997553935549126,0.7073977108139443,0.7091322941095324,0.2908677058904676,0.4426841760409332,0.31633857034367546,0.7145919991376085,0.2854080008623915
106.png,87.0,80.0,1452070,14784,9727,1.0181327346477786,0.6698712871968983,0.6579410173160173,0.3420589826839827,0.4707579747005636,0.35412352599900493,0.75224116219009,0.24775883780991004
107.png,80.0,80.0,1460278,15096,13313,1.0337757605058764,0.9116757220200538,0.8818892421833598,0.11811075781664016,0.4958625580962769,0.3557702498437653,0.7174775429902268,0.2825224570097732
108.png,77.0,80.0,1424301,16657,16791,1.1694859443333958,1.1788940680375848,1.0080446659062257,-0.008044665906225656,0.4918597260092908,0.34963055408622057,0.710833873151095,0.28916612684890497
109.png,77.0,80.0,1434405,15972,17473,1.1134930511257282,1.2181357426947061,1.093976959679439,-0.09397695967943909,0.5279201723299323,0.3589818038406075,0.6799925872433911,0.32000741275660893
11.png,81.0,80.0,1210935,1950,54,0.16103259051889657,0.0044593640451386736,0.027692307692307693,0.9723076923076923,0.4147402628444448,0.36574546950338155,0.8818663203687085,0.11813367963129151
110.png,85.0,80.0,1498939,16660,13173,1.1114528343047982,0.8788216198257568,0.7906962785114046,0.20930372148859544,0.5877949755896148,0.4050825499932302,0.689156197000312,0.31084380299968795
111.png,80.0,80.0,1432548,15121,15181,1.055531821621335,1.0597201629544002,1.0039679915349513,-0.0039679915349513095,0.47378816248199357,0.32672650896804084,0.6896046267944868,0.31039537320551325
112.png,85.0,80.0,1480491,15836,11704,1.069645137998137,0.7905485409907929,0.7390755241222531,0.2609244758777469,0.4636467914914128,0.33118125529493386,0.7142964458561721,0.28570355414382786
113.png,78.0,80.0,1452144,14727,12413,1.0141556209301557,0.8548050331096642,0.8428736334623481,0.15712636653765188,0.47817316980718355,0.33897593155553957,0.7088978490621436,0.2911021509378564
114.png,82.0,80.0,1437113,16302,16565,1.1343575626968792,1.152658141704932,1.0161329898172002,-0.01613298981720024,0.583286508016021,0.40632120614381184,0.6966065570860959,0.30339344291390413
115.png,74.0,80.0,1452287,16409,19180,1.1298730898231548,1.3206755964902255,1.1688707416661588,-0.16887074166615879,0.5004473188682451,0.34940818837567533,0.6981917480662245,0.3018082519337755
116.png,86.0,80.0,1462920,13654,8707,0.933338801848358,0.5951795040056873,0.6376885894243445,0.3623114105756555,0.47194891402647415,0.339175441318947,0.7186698204795972,0.28133017952040285
117.png,81.0,80.0,1455469,14402,14411,0.989509223487412,0.9901275808691219,1.000624913206499,-0.0006249132064990448,0.5373730778770318,0.36286225070511385,0.6752520095324693,0.32474799046753067
118.png,80.0,80.0,1458763,17613,19160,1.2073928390012634,1.313441594008074,1.0878328507352524,-0.08783285073525238,0.5902485232777768,0.4147725804862399,0.7027083747417422,0.2972916252582578
119.png,79.0,80.0,1451156,14846,15055,1.0230464539994322,1.0374487649846054,1.0140778660918766,-0.014077866091876556,0.5023447082028424,0.34151902976899584,0.6798499599822468,0.32015004001775316
12.png,73.0,80.0,1273414,3287,614,0.25812500883451883,0.048216840713232303,0.1867964709461515,0.8132035290538485,0.3997772839792122,0.345519040101297,0.8642788221035177,0.1357211778964823
120.png,77.0,80.0,1438282,15740,14730,1.0943611892521772,1.0241385208185876,0.9358322744599746,0.06416772554002537,0.490094222505431,0.34010482464055825,0.6939580370931415,0.3060419629068585
13.png,80.0,80.0,1254220,3710,220,0.2958013745594872,0.017540782318891425,0.05929919137466307,0.9407008086253369,0.3888662550620743,0.3389041190380479,0.8715184581494453,0.12848154185055471
14.png,83.0,80.0,1267747,3343,278,0.2636961475751865,0.02192866557759553,0.08315883936583907,0.9168411606341609,0.43371780334775706,0.37283214657187036,0.8596191894685303,0.14038081053146967
15.png,81.0,80.0,1271362,3514,1125,0.27639649446813735,0.08848777924776736,0.3201479795105293,0.6798520204894707,0.395961703050791,0.34843308552605884,0.8799666302106102,0.12003336978938983
16.png,84.0,80.0,1243013,1769,179,0.14231548664414612,0.014400492995648478,0.10118711136235162,0.8988128886376484,0.41795583673587267,0.37081721020858144,0.8872162501774548,0.11278374982254524
17.png,84.0,80.0,1241934,2060,481,0.1658703280528595,0.038729916404575446,0.23349514563106796,0.766504854368932,0.4229848018565445,0.3803088610668199,0.8991076260839315,0.10089237391606853
18.png,78.0,80.0,1189727,3448,80,0.28981438598939085,0.0067242316934893465,0.02320185614849188,0.9767981438515081,0.4026663051899009,0.34029206659556605,0.8450969505260227,0.15490304947397726
19.png,88.0,80.0,1127704,12824,10787,1.1371778409937359,0.9565453345913466,0.8411572052401747,0.15884279475982532,0.5770071681764375,0.47330270565168203,0.8202717951451087,0.17972820485489127
2.png,79.0,80.0,1315074,6708,4581,0.5100853640175382,0.3483454163035692,0.6829159212880143,0.31708407871198574,0.3999849149526274,0.3648789372254695,0.9122317457114208,0.08776825428857915
20.png,81.0,80.0,1274768,2790,167,0.2188633539593087,0.013100422978926362,0.05985663082437276,0.9401433691756272,0.4124514415008705,0.357922497458108,0.8677930574218944,0.1322069425781056
21.png,79.0,80.0,1292323,3525,796,0.27276462618091607,0.06159450849361963,0.22581560283687943,0.7741843971631206,0.3952918523655548,0.3480872093121923,0.88058280794083,0.11941719205917001
22.png,80.0,80.0,1297862,7505,5536,0.5782587054709977,0.4265476606911983,0.7376415722851433,0.26235842771485673,0.43651044676618284,0.38952186120743315,0.8923540412220211,0.10764595877797889
